Plot,Date,ALHU,AMRO,ANHU,BLPH,BRCR,BTPI,BUSH,CALT,CASJ,CBCH,CEDW,COHA,CORA,DEJU,DOWO,FOSP,GCSP,HAWO,HETH,HOFI,HUVI,LEGO,MODO,NOFL,OCWA,OSFL,PAWR,PSFL,PUFI,PYNU,RBNU,RCKI,ROPI,RSHA,RTHA,SOSP,SPTO,STJA,SWTH,TOWA,VATH,WCSP,WETA,WIFL,WIWA,YEWA,YRWA
1. Edgewood,3/16/2019,,8,1,,,3,,,,4,,,,,2,,,,,9,,,,,,,,,,,,1,,,,6,,,,1,,,,,,,
1. Edgewood,3/30/2019,,4,1,,1,,,,,,,,3,1,2,,,,,,,,,,,,2,,,,,,,,,4,,,,4,,,,,2,,
1. Edgewood,4/7/2019,,2,,,,,,,,2,,,2,,,,,,,2,,,,,,,3,,,,,1,,,,5,,1,,,,,,,1,,
1. Edgewood,4/24/2019,,1,1,,,,,,,2,,,3,,,,,,,2,,,,,,,2,,,,,,,,,3,,,,,,,,,2,,
1. Edgewood,5/12/2019,,5,1,,,,,,,3,,,2,,,,,,,2,1,,,,,,1,,,,,,,,,5,,1,,,,,,,2,,
1. Edgewood,5/25/2019,2,2,2,,,,,,,,,,2,,,,,,,1,,,,,,,2,,,,,,,,,5,,,,,,,,,3,,
1. Edgewood,6/2/2019,2,6,1,,,,,,,2,,,2,2,,,,,,3,,,,,,1,2,,,,,,,1,,7,,2,1,,,,,,4,,
1. Edgewood,6/22/2019,1,2,1,,,,,,1,,,,2,1,,,,,,2,,,,,,,1,,,,,,,,,6,,1,1,,,,,,3,,
1. Edgewood,7/7/2019,1,,1,,,,,,,2,,,,,,,,,,2,,,,,,,2,,,3,,,,,,2,,1,,,,,,,1,,
1. Edgewood,7/21/2019,5,1,3,,,,,,,1,,,2,2,1,,,,,3,,,,,,,,,,3,,,,1,,4,,,,,,,,,2,,
1. Edgewood,8/10/2019,1,1,2,,,,,,,2,,,,,,,,,,3,,,,,,,,,,2,,,,,,5,,,,,,,,,,,
1. Edgewood,8/23/2019,,1,3,,,,,,1,1,,,,,1,,,,,3,,,,,,,1,1,,,,,,,,4,,,,,,,,,,,
1. Edgewood,9/19/2019,,,3,,,,,,,,,,,2,1,,,,,1,,,,,,,3,1,,2,,,,,,3,,,,1,,,1,,,,
1. Edgewood,9/29/2019,,,,,,,,,,,,,,4,1,3,,,,,,,,,,,2,,,,,3,,,,4,,1,,1,,,,,,,
1. Edgewood,10/3/2019,,,,,,,,,,,,1,1,,,2,,,,2,,,,,,,1,,,1,1,2,,,,5,,1,,,,,,,,,
