Plot,Date,ALHU,AMCR,AMRO,ANHU,BGGN,BHGR,BLPH,BRCR,BTPI,BUSH,CALT,CASJ,CBCH,CEDW,CORA,DEJU,DOWO,FOSP,GCKI,GCSP,GHOW,HAWO,HETH,HOFI,HOOR,HOWR,HUVI,LAZB,LEGO,LISP,MODO,NAWA,NOFL,NUWO,NWWA,OCWA,OSFL,PAWR,PISI,PSFL,PUFI,PYNU,RBNU,RBSA,RCKI,RECR,RSHA,RTHA,RU/ALHU,RUHU,SOSP,SPTO,STJA,SWTH,TOWA,VATH,WAVI,WCSP,WEFL,WETA,WIWA,WWPE,YEWA,YRWA
1. Edgewood,1/19/2023,,,7,1,,,,,,3,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,1,,1,,,,1,,,1,,2,,1,,,,,,,,,
1. Edgewood,1/23/2023,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Edgewood,2/1/2023,,,1,2,,,,,,,,,2,,,1,,,,1,,,,1,,,,,,,,,,4,,,,1,,,,2,,,1,,,,,,2,,,,1,,,1,,,,,,
1. Edgewood,2/16/2023,,,,3,,,,,,2,,1,1,,,3,,,,,,,,2,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,4,,1,,1,,,,,,,,,1
1. Edgewood,3/5/2023,1,,2,1,,,,,,,,,1,,,,1,,,,,,,2,,,,,,,,,1,2,,,,1,,,,1,,,,,,,,,2,,,,,,,,,,,,,
1. Edgewood,3/26/2023,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,1,,,,,,1,,,
1. Edgewood,4/6/2023,2,,1,1,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,2,,,1,,,,,,1,,,,1,,,,,,1,,,
1. Edgewood,4/23/2023,1,,2,,,,,,,,,,2,,,3,1,,,,,,,2,1,,,,,,,,,1,,,1,1,,,,,,,,,,,,,3,,,,,,,,,,2,,,
1. Edgewood,7/9/2023,2,,3,,,,,,12,,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,2,,,,,,,,,,2,,,
1. Edgewood,7/23/2023,,,1,1,,,,2,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,
1. Edgewood,08/06/2023,,,1,3,,,,1,,,,,1,,,2,,,,,,,,3,,,,1,,,,,,1,,,,,,,,2,,,,,,,1,,2,,,,,,,,,,,,,
1. Edgewood,8/27/2023,,,1,1,,1,,,,,,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,1,,,,,,,,3,,,
1. Edgewood,9/10/2023,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
1. Edgewood,9/24/2023,,,,1,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
1. Edgewood,10/11/2023,,,,2,,,,,,,,,2,,,1,,1,,,,,,,,2,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,2,,1,,,,,,,,,
1. Edgewood,10/22/2023,,,,1,,,,1,,,,,2,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,2,,,,,,2,,,,1,,,,,,,,,
1. Edgewood,11/5/2023,,,,2,,,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,2,,,,,,,,,,,,,
1. Edgewood,11/23/2023,,,,1,,,,,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,
1. Edgewood,12/3/2023,,,,2,,,,,,,,,2,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,3,,1,,,,,,,,,,,
10. Historic III,1/19/2023,,,1,1,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,1,,,,,,,,,,,
10. Historic III,1/23/2023,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
10. Historic III,2/1/2023,,,,2,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,1,,,,,,2,,1,,,,,,,,,,,
10. Historic III,2/16/2023,1,,1,1,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,2,,,,1,,,,,,,,,
10. Historic III,3/5/2023,2,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1
10. Historic III,3/26/2023,1,,1,1,,,,,,,,,,,,1,,2,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,
10. Historic III,4/6/2023,,,5,1,,,,,,,,,,,,1,2,1,,,,,2,1,,,,,,,,,1,,,,,4,,,,2,,,,,,,,,1,,,,,,,,,,2,,,
10. Historic III,4/23/2023,,,1,,,,,,,,,,2,,,2,1,,,,,,,1,,,,,,,,,,,,1,,2,,,,,,,,,,,,,2,,,,,,,,,,1,,,
10. Historic III,7/9/2023,1,,1,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
10. Historic III,7/23/2023,,,1,,,,1,,,,,,3,,,1,1,,,,,,,12,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,1,,1,,,,,,,,1,,,
10. Historic III,08/06/2023,,,1,2,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,1,,,,,,,,,,,
10. Historic III,8/27/2023,,,2,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,3,,,,,,,,,2,,,,,,,,1,,,,2,
10. Historic III,9/10/2023,,,2,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,1,,1,,1,,1,,4,1,,
10. Historic III,9/24/2023,,,,1,,,,,,,,,2,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,2,,,,1,,,,,,,,,
10. Historic III,10/11/2023,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
10. Historic III,10/22/2023,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,1,,,,,1,,,,2,,,1,,,,,,3,,,,1,,,,,,,,,
10. Historic III,11/5/2023,,,,2,,,,,,,,,1,,,1,,2,,,,,1,,,,,,,,,,1,,,,,2,,,,1,,,2,,,,,,1,,1,,2,,,,,,,,,4
10. Historic III,11/23/2023,,,,1,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,2,,,,,,,,
10. Historic III,12/3/2023,,,,,,,,,3,,,,3,,,,,4,,,,,1,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,2,,,,,1,,,,,,,,
11. Historic IV,1/19/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
11. Historic IV,1/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Historic IV,2/1/2023,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,2,,,,,,,,,,,,,
11. Historic IV,2/16/2023,,,1,1,,,,1,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,2,,,,,,,,,,,,,
11. Historic IV,3/5/2023,1,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
11. Historic IV,3/26/2023,1,,,2,,,,,,,,,3,,,3,,,,,,,,1,,,,,,,,,,,,,,2,,,,2,,,,,,,,,1,,,,1,,,,,,,,,1
11. Historic IV,4/6/2023,1,,,2,,,,,,,,,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,1,,,,,,1,,,
11. Historic IV,4/23/2023,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,
11. Historic IV,7/9/2023,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Historic IV,7/23/2023,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,1,,,,,,,,2,,,
11. Historic IV,08/06/2023,,,1,1,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,2,,,,3,,,,,,,,,1,,,,,,,,,,1,,,
11. Historic IV,8/27/2023,,,,1,,1,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,2,,,,,,,,,,1,,,
11. Historic IV,9/10/2023,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
11. Historic IV,9/24/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
11. Historic IV,10/11/2023,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,1,,,,,,,,,,,
11. Historic IV,10/22/2023,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
11. Historic IV,11/5/2023,,,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,,,,,,,,,,1,,,,,,,,,
11. Historic IV,11/23/2023,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Historic IV,12/3/2023,,,,3,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,2,,,,1,,,1,,,,,,3,,1,,1,,,,,,,,,
12. North Ridge,1/19/2023,,,,2,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,
12. North Ridge,1/23/2023,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. North Ridge,2/1/2023,,,,,,,1,1,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
12. North Ridge,2/16/2023,1,,,2,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,
12. North Ridge,3/5/2023,,1,,1,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,1,,,1,,,,2,,,,,,,,,
12. North Ridge,3/26/2023,1,,,1,,,,,,,,,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,2,,,,,,,,,,,
12. North Ridge,4/6/2023,2,,2,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,1,,,,,,,,,,,,,
12. North Ridge,4/23/2023,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
12. North Ridge,7/9/2023,1,,2,1,,,,,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,,,,,,,2,,,
12. North Ridge,7/23/2023,,,2,2,,,1,,,,,,,,1,,,,,,,1,,7,,,,,,,,,,,,,,,,,,2,,,,,,,2,,1,,1,,,,,,,,,,,
12. North Ridge,08/06/2023,,,2,3,,,1,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
