"","Plot","Date","Shannon_Diversity"
"1","1. Edgewood","01/21/2024",2.13833305950803
"2","1. Edgewood","02/18/2024",2.66539415998339
"3","1. Edgewood","03/04/2024",2.26238625418332
"4","1. Edgewood","03/18/2024",2.08966804680737
"5","1. Edgewood","04/21/2024",2.49149372187944
"6","1. Edgewood","06/06/2024",2.18375402213711
"7","1. Edgewood","06/19/2024",2.63133752802733
"8","1. Edgewood","07/08/2024",2.53259116080112
"9","1. Edgewood","07/28/2024",2.1986289046105
"10","1. Edgewood","08/01/2024",2.51558339334683
"11","1. Edgewood","08/25/2024",2.34199425223243
"12","1. Edgewood","09/01/2024",2.47622064959816
"13","1. Edgewood","09/22/2024",2.34199425223242
"14","1. Edgewood","1/7/2024",1.58109375017182
"15","1. Edgewood","10/20/2024",2.75110228938637
"16","1. Edgewood","10/6/2024",2.60238077993248
"17","1. Edgewood","11/14/2024",2.24297322643815
"18","1. Edgewood","11/3/2024",1.74786809746676
"19","1. Edgewood","12/1/2024",2.50702643555742
"20","1. Edgewood","12/8/2024",2.57962467360858
"21","1. Edgewood","2/5/2024",2.21025357762097
"22","1. Edgewood","4/7/2024",2.44121452910603
"23","1. Edgewood","5/19/2024",1.8419963797843
"24","1. Edgewood","5/8/2024",2.31315367873363
"25","10. Historic III","01/21/2024",1.98133251472398
"26","10. Historic III","02/18/2024",1.69574253416963
"27","10. Historic III","03/04/2024",2.42601513195981
"28","10. Historic III","03/18/2024",2.04485880136326
"29","10. Historic III","04/21/2024",2.35167330190463
"30","10. Historic III","06/06/2024",1.49417513828931
"31","10. Historic III","06/19/2024",1.88487133357816
"32","10. Historic III","07/08/2024",2.14584175259475
"33","10. Historic III","07/28/2024",1.58325845942048
"34","10. Historic III","08/01/2024",0.950270539233235
"35","10. Historic III","08/25/2024",1.80189240065887
"36","10. Historic III","09/01/2024",0.796311640173813
"37","10. Historic III","09/22/2024",2.00755630743784
"38","10. Historic III","1/7/2024",2.04319187054512
"39","10. Historic III","10/20/2024",2.60218779531926
"40","10. Historic III","10/6/2024",2.14395220064387
"41","10. Historic III","11/14/2024",2.43712464631452
"42","10. Historic III","11/3/2024",1.76776147228933
"43","10. Historic III","12/1/2024",2.0228085294147
"44","10. Historic III","12/8/2024",2.44973395001248
"45","10. Historic III","2/5/2024",1.74806734854609
"46","10. Historic III","4/7/2024",2.33837170480357
"47","10. Historic III","5/19/2024",2.11653105351784
"48","10. Historic III","5/8/2024",2.24503527412618
"49","11. Historic IV","01/21/2024",1.73286795139986
"50","11. Historic IV","02/18/2024",1.76776147228933
"51","11. Historic IV","03/04/2024",2.03175921856927
"52","11. Historic IV","03/18/2024",2.43079132887823
"53","11. Historic IV","04/21/2024",2.34393298130802
"54","11. Historic IV","06/06/2024",1.38629436111989
"55","11. Historic IV","06/19/2024",2.08376603748565
"56","11. Historic IV","07/08/2024",1.67262544615032
"57","11. Historic IV","07/28/2024",1.92739212613927
"58","11. Historic IV","08/01/2024",1.33217904021012
"59","11. Historic IV","08/25/2024",2.39470040585833
"60","11. Historic IV","09/01/2024",2.19722457733622
"61","11. Historic IV","09/22/2024",2.00755630743784
"62","11. Historic IV","1/7/2024",1.38629436111989
"63","11. Historic IV","10/20/2024",2.24503527412618
"64","11. Historic IV","10/6/2024",1.73286795139986
"65","11. Historic IV","11/14/2024",2.21106887114461
"66","11. Historic IV","11/3/2024",1.09861228866811
"67","11. Historic IV","12/1/2024",1.38629436111989
"68","11. Historic IV","12/8/2024",2.30666872540453
"69","11. Historic IV","2/5/2024",2.01981499249295
"70","11. Historic IV","4/7/2024",2.04673853269455
"71","11. Historic IV","5/19/2024",1.95354925882914
"72","11. Historic IV","5/8/2024",1.83437197028162
