Plot,month,Count
01. Edgewood,January,10
01. Edgewood,February,19
01. Edgewood,March,18
01. Edgewood,April,18
01. Edgewood,May,16
01. Edgewood,June,21
01. Edgewood,July,20
01. Edgewood,August,18
01. Edgewood,September,18
01. Edgewood,October,20
01. Edgewood,November,11
01. Edgewood,December,17
10. Historic III,January,10
10. Historic III,February,8
10. Historic III,March,16
10. Historic III,April,15
10. Historic III,May,14
10. Historic III,June,8
10. Historic III,July,12
10. Historic III,August,7
10. Historic III,September,8
10. Historic III,October,18
10. Historic III,November,13
10. Historic III,December,14
11. Historic IV,January,6
11. Historic IV,February,9
11. Historic IV,March,13
11. Historic IV,April,12
11. Historic IV,May,14
11. Historic IV,June,12
11. Historic IV,July,10
11. Historic IV,August,13
11. Historic IV,September,12
11. Historic IV,October,13
11. Historic IV,November,10
11. Historic IV,December,12
12. North Ridge,January,12
12. North Ridge,February,11
12. North Ridge,March,9
12. North Ridge,April,16
12. North Ridge,May,20
12. North Ridge,June,11
12. North Ridge,July,17
12. North Ridge,August,13
12. North Ridge,September,19
12. North Ridge,October,10
12. North Ridge,November,12
12. North Ridge,December,8
13. Medical,January,9
13. Medical,February,7
13. Medical,March,10
13. Medical,April,11
13. Medical,May,8
13. Medical,June,8
13. Medical,July,9
13. Medical,August,3
13. Medical,September,4
13. Medical,October,7
13. Medical,November,8
13. Medical,December,9
02. Fairy Gates,January,15
02. Fairy Gates,February,10
02. Fairy Gates,March,18
02. Fairy Gates,April,16
02. Fairy Gates,May,17
02. Fairy Gates,June,15
02. Fairy Gates,July,18
02. Fairy Gates,August,15
02. Fairy Gates,September,12
02. Fairy Gates,October,14
02. Fairy Gates,November,10
02. Fairy Gates,December,14
03. East Ridge,January,7
03. East Ridge,February,8
03. East Ridge,March,16
03. East Ridge,April,15
03. East Ridge,May,9
03. East Ridge,June,14
03. East Ridge,July,11
03. East Ridge,August,11
03. East Ridge,September,12
03. East Ridge,October,7
03. East Ridge,November,16
03. East Ridge,December,5
04. Mystery,January,8
04. Mystery,February,9
04. Mystery,March,18
04. Mystery,April,16
04. Mystery,May,13
04. Mystery,June,11
04. Mystery,July,11
04. Mystery,August,17
04. Mystery,September,17
04. Mystery,October,17
04. Mystery,November,17
04. Mystery,December,11
05. Summit,January,12
05. Summit,February,7
05. Summit,March,21
05. Summit,April,21
05. Summit,May,17
05. Summit,June,15
05. Summit,July,15
05. Summit,August,17
05. Summit,September,21
05. Summit,October,16
05. Summit,November,21
05. Summit,December,17
06. Nike,January,9
06. Nike,February,8
06. Nike,March,12
06. Nike,April,14
06. Nike,May,16
06. Nike,June,14
06. Nike,July,14
06. Nike,August,13
06. Nike,September,15
06. Nike,October,11
06. Nike,November,16
06. Nike,December,16
07. Quarry,January,10
07. Quarry,February,11
07. Quarry,March,9
07. Quarry,April,17
07. Quarry,May,14
07. Quarry,June,11
07. Quarry,July,13
07. Quarry,August,10
07. Quarry,September,12
07. Quarry,October,13
07. Quarry,November,14
07. Quarry,December,13
08. Historic I,January,6
08. Historic I,February,9
08. Historic I,March,15
08. Historic I,April,17
08. Historic I,May,13
08. Historic I,June,11
08. Historic I,July,11
08. Historic I,August,10
08. Historic I,September,11
08. Historic I,October,12
08. Historic I,November,18
08. Historic I,December,13
09. Historic II,January,9
09. Historic II,February,10
09. Historic II,March,12
09. Historic II,April,16
09. Historic II,May,13
09. Historic II,June,6
09. Historic II,July,6
09. Historic II,August,10
09. Historic II,September,7
09. Historic II,October,14
09. Historic II,November,13
09. Historic II,December,11
