Plot,Date,ALHU,AMRO,ANHU,BEWR,BGGN,BHGR,BLPH,BRCR,BTPI,BUOR,BUSH,CALT,CASJ,CBCH,CEDW,CORA,DEJU,DOWO,FOSP,GCKI,GCSP,GHOW,HAWO,HETH,HEWA,HOFI,HOOR,HOWR,HUVI,LAZB,LEGO,MODO,NOFL,NUWO,NWWA,OCWA,OSFL,PAWR,PISI,PUFI,PYNU,RBGR,RBNU,RCKI,ROPI,RSHA,RTHA,RU/ALHU,SOSP,SPTO,SSHA,STJA,SWTH,TOWA,UNKW,VATH,WAVI,WCSP,WEFL,WETA,WIWA,WOOD,WWPE,YEWA,YRWA,ZONO
1. Edgewood,1/7/2024,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,2,,,,,2,,,,,,,,,,,,
1. Edgewood,01/21/2024,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,2,,1,,,2,,,,,1,,,,,,,,,,,,
1. Edgewood,2/5/2024,,,1,,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,3,,,1,,,,,,,,,,,,,,
1. Edgewood,02/18/2024,1,3,2,,,,,,,,,,,,1,,1,1,,,,,1,1,,1,,,,,,,,,,1,,1,,,1,,,2,,,,,3,,,1,,1,,,,,,,,,,,,
1. Edgewood,03/04/2024,1,4,2,,,,,1,,,,,,,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,2,,,1,,,,,,,,,,,,,,
1. Edgewood,03/18/2024,2,13,,,,,,,8,,,,,,1,,1,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,1,,,2,,3,,2,,,,,2,,,,,
1. Edgewood,4/7/2024,2,1,1,,,,,,,,,,,1,,,1,,,,,,,,,2,,,,,,,,,,1,,1,,,,,,,,,,,2,,,2,,4,,,,1,,,1,,,,,
1. Edgewood,04/21/2024,1,3,1,,,,,1,,,,1,1,1,,,2,1,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,4,,,,,
1. Edgewood,5/8/2024,2,1,3,,,,,1,,,,,,1,2,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,
1. Edgewood,5/19/2024,1,1,1,,,,,,2,,,,,,20,,2,,,,,,,,,2,,,,,,,,1,,2,1,,,,,,,,,,,,2,,,,1,,,,,,,,2,,,,,
