Plot,Date,ACWO,ALHU,AMCR,AMRO,ANHU,BGGN,BHCO,BHGR,BLPH,BRCR,BTPI,BTYW,BUSH,CALT,CASJ,CBCH,CEDW,CORA,DEJU,DOWO,FOSP,GCSP,HAWO,HETH,HOFI,HOWR,HUVI,LEGO,MODO,NAWA,NOFL,NOPA,NUWO,OCWA,OSFL,PAWR,PSFL,PYNU,RCKI,RMPA,ROPI,RSHA,RTHA,RU/ALHU,RUHU,SOSP,SPTO,STJA,SUTA,SWTH,TOWA,VATH,WAVI,WCSP,WETA,WIWA,YEWA,YRWA
1. Edgewood,1/5/2020,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,2,,,,,,,2,,3,,,,,,,,,,
1. Edgewood,1/26/2020,,,,4,2,,,,,,,,,,,1,,1,,,1,,,1,,,,,,,,,,,,2,,1,3,,,,,,,3,,,,,,,,,,,,
1. Edgewood,2/17/2020,,,,4,4,,,,,,,,,,,,,,2,2,1,,,,2,,,,,,,,,,,3,,1,3,,,,,,,3,,2,,,1,,,,,,,
1. Edgewood,2/29/2020,,,,1,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,2,,,2,,,,,,,1,,,,,,,,,,,,
1. Edgewood,3/21/2020,,,,,1,,,,,,,,,,,2,,4,1,,,,,,3,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,1
1. Edgewood,3/31/2020,,,,4,,,,,,,,,,,,1,,5,,,,,,,2,,,,,,,,,,,1,,2,,,,,,,,3,,,,,1,,,,,1,,
1. Edgewood,4/18/2020,,,,2,2,,,,,,1,,,,,3,,3,2,,,,,,1,,,,,,,,,,,1,,,,,,1,,1,,4,,,,,,,,,,2,,
1. Edgewood,4/30/2020,,,,2,1,,,,,,,,1,,,3,,,1,,,,,,2,,,,,,,,,,1,1,,,,,,,,1,,5,,,,,,,,,,1,,
1. Edgewood,5/13/2020,,,,2,,,,,,,,,,,,,,2,3,,,,,,,,,2,,,,,,,,,,1,,,,,,1,,5,,,,,,,,,,2,,
1. Edgewood,5/31/2020,,,,4,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,6,,1,,2,,,,,,2,,
1. Edgewood,6/10/2020,,,,,,,,,,,,,,,,,,10,1,,,,,,1,,,,,,,,,,,2,,4,,,,,,,,3,,,,,,,,,,2,,
1. Edgewood,6/27/2020,,,,2,1,,,,,,,,,,,2,,2,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,2,,
1. Edgewood,7/3/2020,,,,5,4,,,,,,,,,,,3,,,,1,,,,,3,,,,,,,,,,,1,,,,,,1,,2,,1,,1,,,,,,,,1,,
1. Edgewood,7/31/2020,,,,5,2,,,2,,,,,,,,,,,1,1,,,,,5,,,,,,,,,1,,,,,,,,,,1,,4,,2,,,,,,,,1,,
1. Edgewood,8/15/2020,,,,,4,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,4,,,,,,,,,,,,
1. Edgewood,8/29/2020,,,,,,,,2,,,,,,,,3,,1,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
1. Edgewood,9/20/2020,,,,,4,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
1. Edgewood,9/23/2020,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,3,,1,,,,,,,,,,
1. Edgewood,10/18/2020,,,,,1,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,1,,,,,,1,,,,,,,1,,2,,,,1,,,,,1,
1. Edgewood,10/28/2020,,,,,1,,,,,,,,,,,2,,1,,,1,1,,1,3,,,,,,1,,,,,,,1,3,,,,,,,2,,,,,,1,,,,,,
1. Edgewood,11/14/2020,,,,,1,,,,,,,,,,,,,,8,,1,,,1,,,,,,,1,,,,,2,,1,1,,,,,,,4,,1,,,,,,,,,,
1. Edgewood,11/29/2020,,,,,4,,,,,,,,,,,1,,3,,,1,,,,3,,,,,,,,,,,1,,,2,,,,,,,1,,1,,,,,,,,,,
1. Edgewood,12/16/2020,,,,,3,,,,,,,,3,,2,,,,1,,2,,,3,,,,,,,,,,1,,2,,6,1,,,,,,,4,,1,,,1,,,,,,,
1. Edgewood,12/27/2020,,,,,3,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,,2,,,,,,,,,,,,
10. Historic III,1/5/2020,,,,,2,,,,,,,,,,,,,7,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,2,,,,,,,,,,,,
