Plot,Date,ALHU,AMCR,AMRO,ANHU,BHCO,BHGR,BLPH,BRCR,BTPI,BTYW,BUOR,BUSH,CALT,CASJ,CBCH,CEDW,COHA,CORA,DEJU,DOWO,FOSP,GCSP,GHOW,HAWO,HETH,HOFI,HOOR,HOWR,HUVI,LEGO,MODO,NOFL,NUWO,OCWA,OSFL,PAWR,PISI,PSFL,PUFI,PYNU,RBSA,RCKI,RMPA,ROPI,RSHA,RTHA,RU/ALHU,SOSP,STJA,SWTH,TOWA,VATH,WCSP,WIWA,YRWA
1. Edgewood,1/23/2021,,,1,2,,,,,,,,,,,1,,,,,,,,,,1,2,,,,,,,,,,,,,,3,,3,,,,1,,4,,,,,,,
1. Edgewood,1/30/2021,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,3,1,,,,,,
1. Edgewood,2/18/2021,,,2,2,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,2,,,,2,,,,,,,,2,,,,,,,
1. Edgewood,2/27/2021,,,,1,,,,,,,,,,,,,,,2,1,,,,1,,1,,,,,,,2,,,2,,,,,,2,,,1,,,3,,,,,,,
1. Edgewood,3/13/2021,,,1,1,,,,,,,,,,,1,,,3,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,3,1,,,,,,
1. Edgewood,3/27/2021,,,3,,,,,2,,,,,,,1,,,,2,,,,,,,5,,,1,,,,,,,1,,,,,,1,,,,,,5,1,,2,,,,
1. Edgewood,4/3/2021,,,1,,,,,1,,,,1,,,2,,,1,3,1,,,,,,3,,,,,,,,,,1,1,,,,,1,,,,,1,4,,,1,,,2,
1. Edgewood,4/17/2021,1,,3,,,,,,,,,,,,,15,,,3,1,,,,,,6,,,,,,,,,,2,,,,1,,,,,,,,6,,,,,,2,
1. Edgewood,5/15/2021,,,3,,,,,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,1,
1. Edgewood,5/31/2021,,,2,4,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,0,,1,,,,1,
1. Edgewood,6/10/2021,2,,2,,,1,,,,,,,,,,,,6,5,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,
1. Edgewood,6/28/2021,2,,2,1,,,,1,,,,,,,2,,,2,,1,,,,,,5,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,,,1,
1. Edgewood,7/11/2021,2,,4,,,,,,,,,,,1,1,,,1,,1,,,,,,4,,,,,,,,,,1,,,,1,,,,,,,,3,,,,,,1,
1. Edgewood,7/31/2021,4,,1,1,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,2,
1. Edgewood,8/16/2021,,,,4,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1. Edgewood,8/30/2021,,,,3,,1,,,,,,,,,2,,,2,1,,,,,,,5,,,,,,,,,,1,,1,,1,,,,,1,,,2,1,,,,,,
1. Edgewood,9/12/2021,,,,1,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
1. Edgewood,9/27/2021,,,,2,,,,,,,,,1,1,,,,2,2,,2,,,,,,,,,,,,,,,1,,,,2,,,,,,,,4,2,,1,,,,
1. Edgewood,10/10/2021,,,,,,,,1,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,1,,,,
1. Edgewood,10/23/2021,,2,,3,,,,1,,,,,,,2,,,1,2,,2,2,,,,4,,1,,,,,,2,,1,,,,,,,,,,,,2,,,,,,,
1. Edgewood,11/7/2021,,,,2,,,,,,,,,,,4,,,1,2,,2,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,1,,,,
1. Edgewood,11/27/2021,,,,1,,,,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,,,,,,,,,
1. Edgewood,12/11/2021,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,3,1,,,,,,
1. Edgewood,12/28/2021,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Historic III,1/23/2021,,,11,1,,,,,,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,3,1,,,,,,
10. Historic III,1/30/2021,,,,,,,,,,,,,,,1,,,1,2,,,,,,,1,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,
10. Historic III,2/18/2021,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
10. Historic III,2/27/2021,,,5,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,1,1,,,,,1,,,1,,,2,,,1,,,,
10. Historic III,3/13/2021,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,
10. Historic III,3/27/2021,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,2,1,,,,,,
10. Historic III,4/3/2021,,,2,,,,,,,,,,,,,,,,2,,1,,,,,2,,,,,,,,,,3,,,,3,,1,,,,,1,1,,,2,,,1,
10. Historic III,4/17/2021,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,3,
10. Historic III,5/15/2021,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
10. Historic III,5/31/2021,,,2,1,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,
10. Historic III,6/10/2021,,,,1,,1,,,,,,,,,,,,2,3,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,
10. Historic III,6/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,
10. Historic III,7/11/2021,,,1,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
10. Historic III,7/31/2021,,,1,2,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10. Historic III,8/16/2021,,,2,1,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
10. Historic III,8/30/2021,,,2,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,,,,,,,4,,,,,,1,
10. Historic III,9/12/2021,,,2,2,,,,,,,,,,,2,,,2,,,,,,,,4,,,,,,,,,,,,,,2,,,,6,,,,1,,,,,,,
10. Historic III,9/27/2021,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,
10. Historic III,10/10/2021,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Historic III,10/23/2021,,,,2,,,,,,1,,,,,,,,,,,2,,,,1,,,,,,,1,,,,3,,,,1,,1,,,,,,1,,,,,,,
10. Historic III,11/7/2021,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,,,,,,,
10. Historic III,11/27/2021,,,,,,,,,,,,,,1,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,3,,1,,,,,,,1,,,,,,
10. Historic III,12/11/2021,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
10. Historic III,12/28/2021,,,1,4,,,,,,,,,,,2,,,,2,,,,,1,1,,,,,,,,,,,1,,,,4,,2,,,,,,,2,,,,,,2
11. Historic IV,1/23/2021,,,,2,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
11. Historic IV,1/30/2021,,,,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Historic IV,2/18/2021,,,,2,,,,,,,,,,,4,,,,3,,,,,,,1,,,,,,,,,,2,,,,1,,1,,,,,,1,,,,,,,
11. Historic IV,2/27/2021,,,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,
11. Historic IV,3/13/2021,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,
11. Historic IV,3/27/2021,,,3,1,,,,,,,,,,,3,,,3,4,,,,,,,1,,,,,,,,,,4,,,,1,,3,,,,,,1,,,1,,,,
11. Historic IV,4/3/2021,,,,2,,,,,,,,,,,1,,,1,4,,,,,,,1,,,,,,,1,,,3,,,,6,,,,,,,,,1,,1,,,1,
11. Historic IV,4/17/2021,,,2,1,,,,,,,,,,,1,,,2,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
11. Historic IV,5/15/2021,,,3,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,2,
11. Historic IV,5/31/2021,,2,3,,,,,,,,,1,,,1,,,2,1,,,,,,,3,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,2,
11. Historic IV,6/10/2021,1,,4,,,,,,,,,,,,,,,2,1,,,,,,,5,,,,,,,,,,2,,,,1,,,,,,,,,1,,,,,,
11. Historic IV,6/28/2021,,,2,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,
11. Historic IV,7/11/2021,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
11. Historic IV,7/31/2021,,,2,,,,,,,,,,,,3,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,
11. Historic IV,8/16/2021,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Historic IV,8/30/2021,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Historic IV,9/12/2021,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
11. Historic IV,9/27/2021,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,
11. Historic IV,10/10/2021,,,,,,,,,,,,,,,,,,1,3,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
11. Historic IV,10/23/2021,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
11. Historic IV,11/7/2021,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,,,1,,,,,,,
11. Historic IV,11/27/2021,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
11. Historic IV,12/11/2021,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
11. Historic IV,12/28/2021,,,,1,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,
12. North Ridge,1/23/2021,,,,2,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,3,,,,,,
12. North Ridge,1/30/2021,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,
12. North Ridge,2/18/2021,,,,1,,,,1,,,,,,,1,,,,4,1,,,,,,4,,,,,,,,,,,,,,3,,,,,,,1,3,,,1,,,,
12. North Ridge,2/27/2021,,,5,2,,,,,,,,,,,1,,,,2,1,1,,,,1,1,,,,,,,,,,1,,,,,,1,,,,,1,2,,,,,,,
12. North Ridge,3/13/2021,,,4,1,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,1,,,,1,,1,,,,,,2,,,,,,,
12. North Ridge,3/27/2021,1,,,3,,,,1,,,,,,,,,,,5,,,,,1,,3,,,,,,,,,,,,,,1,,1,,,,,,3,,,2,,,,
12. North Ridge,4/3/2021,,,5,,,,,1,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,1,5,,,3,,,,
12. North Ridge,4/17/2021,,,3,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2,1,,,,,,,,,,1,1,,,,,,,
12. North Ridge,5/15/2021,1,,3,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,3,1,,,,,1,
12. North Ridge,5/31/2021,2,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,
