Plot,Date,ALHU,AMCR,AMRO,ANHU,BHCO,BHGR,BLPH,BRCR,BTPI,BUSH,CALT,CASJ,CBCH,CEDW,COHA,CORA,DEJU,DOWO,FOSP,GCSP,GHOW,HAWO,HETH,HOFI,HOWR,HUVI,LEGO,MODO,NOFL,NUWO,OCWA,OSFL,PAWR,PISI,PSFL,PUFI,PYNU,RBSA,RCKI,ROPI,RSHA,RTHA,RU/ALHU,SOSP,SPTO,STJA,SWTH,TOWA,VATH,WCSP,WEBL,WETA,WIWA,WTSP,YEWA,YRWA
1. Edgewood,1/15/2022,,,,2,,,,1,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,
1. Edgewood,1/30/2022,,,,,,,,1,,,,,,,,,,,,,,,,4,,,2,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,
1. Edgewood,2/13/2022,,,,1,,,,1,,4,,,4,,,3,,,,,,1,,5,,,,,,1,,,,,,,,,1,,,,,3,,,,,,,,,,,,
1. Edgewood,2/20/2022,,,3,2,,,,,,,,,,,,3,2,,,,,,,7,,,,,,,,,2,,,,1,,,,,,,3,,1,,,,,,,,,,
1. Edgewood,3/12/2022,,,,1,,,,2,2,,,,,,,,3,1,,,,,,6,,,,,,,,,,,,,,,,,,,,3,,1,,1,,,,,,,,
1. Edgewood,3/27/2022,,,,,,,,1,,,,,2,,,,1,1,,,,,,2,,,,,,,,,1,,,,,,,,,,,2,,1,,2,,,,,,,,
1. Edgewood,4/9/2022,1,,,,,,,,,,,,3,8,,,3,1,,,,,,7,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,1,,,
1. Edgewood,4/24/2022,,,,,,,,2,,,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,1,,,
1. Edgewood,5/6/2022,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,1,,,
1. Edgewood,5/29/2022,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2,,,1,,,,,,2,,,
1. Edgewood,6/4/2022,,,,2,,,,,,,,,1,,,,2,1,,,,,,7,,,,,,,,,,,,,,,,,,,,4,,1,1,,,,,,,,,
1. Edgewood,6/12/2022,,,1,1,,,,,,,,1,,,,2,3,,,,,,,4,,,,,,1,,,1,,,,,,,,,,,3,,,1,,,,,,1,,,
1. Edgewood,7/10/2022,,,,1,,,,1,,,,,1,,,,3,1,,,,,,2,,,,,,,,,1,,,,1,,,,,,,2,,,,,,,,,,,,
1. Edgewood,7/30/2022,,,,3,,,,1,,,,,,,,2,,1,,,,,,2,,1,,,,,,,2,,,,,,,,1,,,4,,,,,,,,,,,,
1. Edgewood,8/11/2022,2,,,1,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
1. Edgewood,8/31/2022,,,,,,1,,2,,3,,,2,,,,2,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,
1. Edgewood,9/14/2022,,,,2,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,2,,1,1,,,,,,,,,
1. Edgewood,9/29/2022,,,,1,,,,1,,,,,1,,,1,1,1,1,,,,,3,,,,,,,,,,,,,3,,,,,,,2,,2,,1,,,,,,,,
1. Edgewood,10/12/2022,,,,1,,,,,,,,2,1,,,1,1,,2,,,1,,1,,,,,,,,,1,,1,,1,,1,,1,,,2,,1,,,,,,,,,,
1. Edgewood,10/26/2022,,,1,2,,,,,8,,,,3,,,2,1,,1,,,,,1,,,,,1,,,,1,,,,3,,1,,,1,,,,1,,1,,,,,,,,
1. Edgewood,11/13/2022,,,4,1,,,,,,,,,2,,,,,,2,,,,1,,,,,,,1,1,,,,,,1,,,,,,,3,,1,,2,1,,,,,,,
1. Edgewood,11/23/2022,,,,1,,,,,1,,,,,,,,,1,1,,,,,2,,,,,,,,,2,,,,1,,2,,,,,4,,1,,,,,,,,,,
1. Edgewood,12/5/2022,,,,2,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,
1. Edgewood,12/20/2022,,,,1,,,,,,5,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,2,,,,,2,,1,,,,,,,,,,1
10. Historic III,1/15/2022,,,1,1,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
10. Historic III,1/30/2022,,,1,2,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
10. Historic III,2/13/2022,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,1,,3,,,,,2,,,,,,,,,,,,
