Plot,Viewshed,Date,Grand_Total,ACWO,ALHU,AMCR,AMRO,ANHU,BEWR,BGGN,BHCO,BHGR,BLPH,BRCR,BTPI,BTYW,BUOR,BUSH,CALT,CASJ,CBCH,CEDW,COHA,CORA,DEJU,DOWO,FOSP,GCKI,GCSP,GHOW,HAWO,HETH,HEWA,HOFI,HOOR,HOOR ,HOWR,HUVI,LAZB,LEGO,LISP,MODO,NAWA,NOFL,NOPA,NUWO,NWWA,OCWA,OSFL,PAWR,PISI,PSFL,PUFI,PYNU,RBGR,RBNU,RBSA,RCKI,RECR,RMPA,ROPI,RSHA,RTHA,RU/ALHU,RUHU,SOSP,SPTO,SSHA,STJA,SUTA,SWTH,TOWA,UNKW,VATH,WAVI,WCSP,WEBL,WEFL,WETA,WIFL,WIWA,WOOD,WTSP,WWPE,YEWA,YRWA,ZONO
1,Edgewood,3/16/2019,9,,,,1,1,,,,,,,1,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
1,Edgewood,3/30/2019,10,,,,1,1,,,,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,
1,Edgewood,4/7/2019,9,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,
1,Edgewood,4/24/2019,8,,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,5/12/2019,10,,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,
1,Edgewood,5/25/2019,8,,1,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,6/2/2019,14,,1,,1,1,,,,,,,,,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,1,,1,,,,,,,,,,1,,,,,,
1,Edgewood,6/22/2019,12,,1,,1,1,,,,,,,,,,,,1,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,1,,,,,,
1,Edgewood,7/7/2019,9,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,
1,Edgewood,7/21/2019,12,,1,,1,1,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,8/10/2019,7,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,8/23/2019,9,,,,1,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,9/19/2019,10,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,
1,Edgewood,9/29/2019,8,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,
1,Edgewood,10/3/2019,10,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
1,Edgewood,10/21/2019,12,,,,,1,,,,,,1,,,,,,,1,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,
1,Edgewood,11/3/2019,9,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,
1,Edgewood,11/22/2019,10,,,,,1,,,,,,,,,,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,
1,Edgewood,12/20/2019,12,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,1,
1,Edgewood,12/29/2019,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,1/5/2020,8,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
1,Edgewood,1/26/2020,10,,,,1,1,,,,,,,,,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,2/17/2020,12,,,,1,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,
1,Edgewood,2/29/2020,6,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,3/21/2020,8,,,,,1,,,,,,,,,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
1,Edgewood,3/31/2020,9,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,
1,Edgewood,4/18/2020,12,,,,1,1,,,,,,,1,,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,4/30/2020,11,,,,1,1,,,,,,,,,,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,5/13/2020,8,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,5/31/2020,10,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,1,,,,,,
1,Edgewood,6/10/2020,7,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,6/27/2020,8,,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,7/3/2020,11,,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,1,,,1,,,,,,,,,,,,1,,,,,,
1,Edgewood,7/31/2020,11,,,,1,1,,,,1,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,1,,,,,,
1,Edgewood,8/15/2020,6,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,8/29/2020,6,,,,,,,,,1,,,,,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,9/20/2020,5,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,9/23/2020,6,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
1,Edgewood,10/18/2020,9,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,1,,
1,Edgewood,10/28/2020,12,,,,,1,,,,,,,,,,,,,1,,,1,,,1,,1,,,1,,1,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
1,Edgewood,11/14/2020,10,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,1,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
1,Edgewood,11/29/2020,9,,,,,1,,,,,,,,,,,,,1,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
1,Edgewood,12/16/2020,13,,,,,1,,,,,,,,,,1,,1,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,
1,Edgewood,12/27/2020,6,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,1/23/2021,9,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,1/30/2021,6,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
1,Edgewood,2/18/2021,7,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,2/27/2021,10,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,3/13/2021,9,,,,1,1,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,
1,Edgewood,3/27/2021,11,,,,1,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,
1,Edgewood,4/3/2021,15,,,,1,,,,,,,1,,,,1,,,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,1,,1,,,,,,1,,,,,,,,,1,,,,,,
1,Edgewood,4/17/2021,10,,1,,1,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,5/15/2021,6,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,5/31/2021,8,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,1,,,,,,
1,Edgewood,6/10/2021,8,,1,,1,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,6/28/2021,13,,1,,1,1,,,,,,1,,,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,
1,Edgewood,7/11/2021,11,,1,,1,,,,,,,,,,,,,1,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,7/31/2021,7,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,
1,Edgewood,8/16/2021,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1,Edgewood,8/30/2021,12,,,,,1,,,,1,,,,,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
1,Edgewood,9/12/2021,4,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
