"","Plot","10/21/2019","10/3/2019","11/22/2019","11/3/2019","12/20/2019","12/29/2019","3/16/2019","3/30/2019","4/24/2019","4/7/2019","5/12/2019","5/25/2019","6/2/2019","6/22/2019","7/21/2019","7/7/2019","8/10/2019","8/23/2019","9/19/2019","9/29/2019"
"1","1. Edgewood",2.33705213290383,2.11520907078974,2.18703290677101,2.09113888262042,2.33705213290383,1.58109375017182,1.91567894673408,2.1742933185645,2.01403552370927,2.05558614376358,2.11162034315937,1.982623282652,2.42988815134614,2.26352987314321,2.34510591417439,2.11864924706995,1.80371937776887,2.01403552370927,2.18703290677101,1.94084303274077
"2","10. Historic III",1.58109375017182,1.49215300329504,1.82387331598544,1.84139037484597,1.88487133357816,1.79175946922805,1.89451418482893,1.74751239997589,1.83378554682005,1.88669678465808,1.97224697942344,1.87116041423181,1.84074872856928,1.84622021932163,1.76700919107457,1.66746193342929,1.32966134885476,1.31078367809971,1.80437161915285,0.955699891112534
"3","11. Historic IV",1.69574253416963,0.636514168294813,1.27703425946614,1.33217904021012,1.03972077083992,1.33217904021012,1.49417513828931,2.04673853269455,1.82007597536062,1.42412991734677,1.94591014905531,1.80650716526167,1.7045514452673,1.73255208811694,1.76231471083667,1.52470739303014,1.57409733684897,1.07899220787758,1.8691547284087,0.693147180559945
"4","12. North Ridge",2.13219224008789,1.38629436111989,1.5498260458782,1.75242367526484,1.33217904021012,1.73286795139986,2.08676875496392,2.06719677999726,2.33319671428625,2.0228085294147,2.02859675599048,1.96009513512456,1.83669756042886,2.01107204708334,1.82173839332084,1.69574253416963,1.09861228866811,2.01380589385235,2.18703290677101,2.24503527412618
"5","13. Medical",1.27703425946614,1.32966134885476,0.636514168294813,1.88915916375402,1.32966134885476,0.693147180559945,1.31143133747324,1.47080847632211,1.69574253416963,1.65655112669665,1.73153540826228,1.95618746766045,1.5857708352081,1.42706104338072,1.74786809746676,1.49417513828931,1.09861228866811,0.693147180559945,1.55958115625988,1.03182044228298
"6","2. Fairy Gates",1.99134641341099,1.79175946922805,1.56071040904141,1.8446214763655,1.88487133357816,1.74786809746676,2.2312234451502,1.73476452102578,1.49417513828931,2.08376603748565,2.22152760281051,2.01403552370927,2.10657733323212,2.37976120538932,1.79175946922805,2.15478315337337,1.96838240872838,1.90853528164356,1.6681739719974,2.09827373952525
"7","3. East Ridge",1.36892236074022,1.3873631478643,0.693147180559945,0.693147180559945,1.69240886298655,0,2.03004018534553,1.84622021932163,2.06920246582036,1.76700919107457,1.11305064777231,2.31109788621271,1.8446214763655,2.1498020496118,1.03619878481928,2.19247595630435,1.38128852666744,1.27703425946614,1.01140426470735,1.863679987341
"8","4. Mystery",1.79326513960343,2.23160695160893,1.84622021932163,1.64341771979318,1.72019345921982,0.950270539233235,1.81848316301237,1.94337792575329,2.06851349735954,2.23956508703684,1.54659868604851,1.00293792699759,1.78309995242309,1.82007597536062,1.61628244884482,1.79865220625213,1.46813993901621,1.35178399428965,1.56071040904141,1.80780471241153
"9","5. Summit",1.35178399428965,2.18340287154269,1.863679987341,1.03972077083992,1.6094379124341,1.55711309805765,2.16142363589851,2.37847456304137,2.41334063977977,2.06719677999726,1.66094743328692,1.87116041423181,2.09765537922449,2.1375031130414,2.37411126626362,2.31350194261723,2.2274376530947,1.92604014826232,2.03175921856927,1.5498260458782
"10","6. Nike",1.05492016798614,1.89036277533887,1.33217904021012,1.27703425946614,0.693147180559945,0.693147180559945,1.94591014905531,2.11864924706995,2.08667390107501,2.09814738913507,1.89378823239114,2.24503527412618,1.84622021932163,2.00288304109065,1.84622021932163,2.27110483916137,1.01140426470735,0,2.15268791827119,1.71408754118701
"11","7. Quarry",1.77101636878359,1.74815545724768,1.74786809746676,1.38629436111989,1.88915916375402,1.5498260458782,1.97920451743432,2.13338193026454,1.966739838294,2.26891294638815,2.01403552370927,2.33319671428625,2.09472904752765,1.72019345921982,1.97300140639361,2.10067892127926,1.69574253416963,0.636514168294813,2.22341310779993,1.81848316301237
"12","8. Historic I",0,0.636514168294813,1.72019345921983,1.47507631105469,0.693147180559945,0,1.44518587894808,1.84622021932163,1.51570795208571,1.56071040904141,1.84622021932163,1.64341771979318,1.97920451743432,1.47507631105469,0,1.60205591545873,0.867563228481461,0,2.09814738913507,1.77823330579971
"13","9. Historic II",1.54030582522652,1.09861228866811,1.72019345921983,1.01140426470735,1.69773359137439,1.49417513828931,1.9550839066644,1.79175946922805,2.08546843531737,1.67669613259185,1.96009513512456,1.73798344858705,1.25548232517875,1.35168119468589,0,1.01140426470735,0,0.693147180559945,1.82007597536062,0.950270539233235
