"","Plot","08/06/2023","1/19/2023","1/23/2023","10/11/2023","10/22/2023","11/23/2023","11/5/2023","12/3/2023","2/1/2023","2/16/2023","3/26/2023","3/5/2023","4/23/2023","4/6/2023","7/23/2023","7/9/2023","8/27/2023","9/10/2023","9/24/2023"
"1","1. Edgewood",2.29311860148681,2.17292709150859,0.636514168294813,2.24297322643815,2.24503527412618,1.73286795139986,2.01981499249295,2.09814738913507,2.44121452910603,2.41334063977977,1.88915916375402,2.33837170480357,2.38888971472958,2.43079132887823,2.14584175259475,1.88329605971719,2.17618566156031,1.09861228866811,1.74786809746676
"2","10. Historic III",1.84622021932163,1.81848316301237,1.33217904021012,1.242453324894,1.97920451743432,1.88669678465808,2.45039628295776,1.98626651786474,2.01981499249295,2.27186851269656,2.01981499249295,1.88669678465808,2.13839724634772,2.30342706588004,1.89428715832979,1.41848366194566,2.30666872540453,2.42547970843272,2.01981499249295
"3","11. Historic IV",2.09472904752765,0.693147180559945,0,1.27703425946614,1.38629436111989,1.03972077083992,2.04319187054512,2.08376603748565,1.46813993901621,2.04493117484959,2.20082764903455,1.38629436111989,1.33217904021012,2.25385758960135,1.73512645696292,0.693147180559945,2.09814738913507,1.33217904021012,0
"4","12. North Ridge",1.63263092715435,1.67698777432242,1.09861228866811,1.90615474653985,0.693147180559945,1.03972077083992,2.39789527279837,1.33217904021012,1.74786809746676,1.90615474653985,2.27186851269656,2.36938211969468,1.38629436111989,1.83642238675416,2.03740484916065,2.34199425223243,2.14395220064387,1.69574253416963,1.09861228866811
"5","13. Medical",0.693147180559945,1.09861228866811,1.09861228866811,0,1.03972077083992,1.32966134885476,1.38629436111989,1.09861228866811,1.15374194270109,1.83437197028162,1.5498260458782,1.03972077083992,1.5498260458782,1.56071040904141,1.56071040904141,1.33217904021012,0.636514168294813,0.636514168294813,0.950270539233235
"6","2. Fairy Gates",1.84622021932163,2.18299597703413,1.32966134885476,1.82007597536062,0,2.01981499249295,2.24503527412618,2.16608493924983,2.13833305950803,2.30666872540453,1.83102048111352,2.14395220064387,1.99150936135661,2.53936739988158,1.09861228866811,2.41334063977977,1.09861228866811,2.52321095295289,1.6094379124341
"7","3. East Ridge",1.7045514452673,1.96523704938023,0,1.90615474653985,0,1.09861228866811,1.03972077083992,1.05492016798614,1.32966134885476,0.636514168294813,1.94591014905531,2.0228085294147,2.16395565688206,2.01403552370927,1.5498260458782,1.73153540826228,1.33217904021012,1.32966134885476,1.03972077083992
"8","4. Mystery",2.24297322643815,1.38629436111989,1.09861228866811,1.27302833658963,1.09861228866811,0.693147180559945,2.01981499249295,1.48494743220846,1.56071040904141,0.693147180559945,0.636514168294813,1.863679987341,2.14584175259475,2.16395565688206,1.6094379124341,1.73286795139986,0.562335144618808,1.98696677023484,1.5498260458782
"9","5. Summit",1.89327559095437,1.84622021932163,2.25385758960135,2.64843833454631,2.1081697690535,2.43079132887823,2.2274376530947,1.863679987341,1.74786809746676,2.34199425223242,2.45831132968308,1.3661588475692,2.20559835902639,2.72490639912922,1.66746193342929,2.05789753192241,2.19793546424114,2.5536815580298,2.33837170480357
"10","6. Nike",0.693147180559945,0.636514168294813,2.10657733323212,2.02532622077007,0.693147180559945,1.6094379124341,1.79175946922805,1.38629436111989,2.03175921856927,0.636514168294813,1.73286795139986,1.74786809746676,1.95646320382668,1.09861228866811,1.6094379124341,1.33217904021012,1.09861228866811,1.74786809746676,1.09861228866811
"11","7. Quarry",1.72019345921982,2.16395565688206,2.33937173438982,1.73286795139986,1.74786809746676,2.63055495363682,2.30461938482067,2.42547970468325,1.96523704938023,1.33217904021012,2.14584175259475,2.0228085294147,2.13839724634772,2.34199425223242,2.42827363752287,2.24503527412618,2.10657733323212,1.74786809746676,1.76776147228933
"12","8. Historic I",2.16822349161464,1.66746193342929,2.02532622077007,1.27703425946614,0,1.72019345921983,2.50013802636543,2.07944154167984,1.67698777432242,1.32966134885476,1.96869320850494,2.09472904752765,1.99150936135661,1.7833836094402,1.67698777432242,1.05492016798614,0,2.14584175259475,1.83437197028162
"13","9. Historic II",1.55711309805765,1.81848316301237,1.74806734854609,2.21106887114461,0,1.33217904021012,2.21106887114461,1.56071040904141,1.09070959076322,1.67698777432242,2.30461938482067,1.38629436111989,2.13833305950803,1.88915916375402,0,0.693147180559945,1.38629436111989,1.09861228866811,1.03972077083992
