year,month,month_name,total,SEM
2024,1,Jan,23,NA
2024,2,Feb,27,NA
2024,3,Mar,33,NA
2024,4,Apr,41,NA
2024,5,May,41,NA
2024,6,Jun,28,NA
2024,7,Jul,37,NA
2024,8,Aug,36,NA
2024,9,Sep,36,NA
2024,10,Oct,34,NA
2024,11,Nov,33,NA
2024,12,Dec,28,NA
prev_years,1,Jan,26.75,2.17
prev_years,2,Feb,27.5,2.18
prev_years,3,Mar,31.6,1.36
prev_years,4,Apr,32.8,0.20
prev_years,5,May,30.8,2.13
prev_years,6,Jun,26.6,1.25
prev_years,7,Jul,25.4,1.75
prev_years,8,Aug,27.2,2.08
prev_years,9,Sep,30.2,0.86
prev_years,10,Oct,31.4,1.63
prev_years,11,Nov,28.2,1.74
prev_years,12,Dec,25.2,1.93
